"","gene","family","variable","value"
"1","AaegIr76b","IR","fe_an",33.7104980504574
"2","AaegOr39","OR","fe_an",37.9514518500821
"3","AaegOr124","OR","fe_an",2.06595292796537
"4","AaegOr17","OR","fe_an",4.34316477866983
"5","AaegOr36","OR","fe_an",16.9405922598154
"6","AaegOr35","OR","fe_an",0
"7","AaegOr1","OR","fe_an",0.169777902112217
"8","AaegIr92a","IR","fe_an",10.795344096182
"9","AaegOr107","OR","fe_an",5.45086807278388
"10","AaegOr79","OR","fe_an",58.4726251912429
"11","AaegOr76","OR","fe_an",5.60826239366918
"12","AaegOr75","OR","fe_an",0
"13","AaegOr77","OR","fe_an",2.39113217317925
"14","AaegOr78","OR","fe_an",14.7483359918196
"15","AaegOr34","OR","fe_an",0.227474844651317
"16","AaegOr37","OR","fe_an",0.379750226105482
"17","AaegIr8a","IR","fe_an",61.6486044445383
"18","AaegOr69","OR","fe_an",22.3985777986222
"19","AaegOr14","OR","fe_an",6.14228154262675
"20","AaegOr15","OR","fe_an",8.07398641003622
"21","AaegIr100c.1","IR","fe_an",0
"22","AaegIr25a","IR","fe_an",185.465458218942
"23","AaegOr87","OR","fe_an",53.072163448303
"24","AaegOr23","OR","fe_an",20.5585146428481
"25","AaegOr88","OR","fe_an",64.441494472749
"26","AaegOr126","OR","fe_an",9.85962053754541
"27","AaegOr63","OR","fe_an",15.0682186717017
"28","AaegOr89","OR","fe_an",0.0251371362381919
"29","AaegOr90","OR","fe_an",0.179019231856419
"30","AaegOr42","OR","fe_an",1.60967450286039
"31","AaegOr45","OR","fe_an",8.71532596211408
"32","AaegOr113","OR","fe_an",57.0229334113791
"33","AaegOr8","OR","fe_an",0.012904749099409
"34","Ir_RU1","IR","fe_an",2.32359807036936
"35","AaegOr7","OR","fe_an",3026.69469403663
"36","AaegOr40","OR","fe_an",0.506516421903324
"37","AaegOr20","OR","fe_an",12.5601320365309
"38","AaegOr24","OR","fe_an",4.98286828512709
"39","AaegOr21","OR","fe_an",8.34814843707109
"40","AaegOr72","OR","fe_an",12.040603241783
"41","AaegOr100","OR","fe_an",78.6648918834067
"42","AaegOr114","OR","fe_an",0.972703667657869
"43","AaegOr115","OR","fe_an",10.0364284304961
"44","AaegOr41","OR","fe_an",7.80506794231739
"45","AaegOr119","OR","fe_an",3.33366948840857
"46","AaegOr102","OR","fe_an",6.42280412047454
"47","AaegOr130","OR","fe_an",1.03151998371861
"48","AaegOr117","OR","fe_an",2.26276615411306
"49","AaegIr93a","IR","fe_an",10.8487011159352
"50","AaegOr62","OR","fe_an",8.62619340167743
"51","AaegIr7j","IR","fe_an",0.0228469232397711
"52","AaegIr7v.2","IR","fe_an",0.984811673675026
"53","AaegIr7l","IR","fe_an",0.0451336994598609
"54","AaegIr7v.1","IR","fe_an",0.0334041630136986
"55","AaegOr97","OR","fe_an",16.5028100565254
"56","AaegIr106.1","IR","fe_an",0.0239154209563532
"57","AaegIr7q.2","IR","fe_an",0.298219338755543
"58","AaegIr7z.1","IR","fe_an",1.25284779483261
"59","AaegIr41a.2","IR","fe_an",11.9640591360914
"60","AaegIr41p.1","IR","fe_an",0.655655995735448
"61","AaegIr41p.2","IR","fe_an",0
"62","Ir_RU2","IR","fe_an",2.66458318207253
"63","AaegIr41o","IR","fe_an",0.381818050255882
"64","AaegIr7h.1","IR","fe_an",0.00174449343782829
"65","AaegIr31a","IR","fe_an",4.36169324708416
"66","AaegIr75k.3","IR","fe_an",18.1579499149819
"67","AaegIr75k.1","IR","fe_an",22.1704279611223
"68","AaegIr119","IR","fe_an",0.00806912408694322
"69","AaegOr68","OR","fe_an",0.140849696711646
"70","AaegOr73","OR","fe_an",0.0341297624725489
"71","AaegIr75i","IR","fe_an",7.4913269037202
"72","AaegIr120","IR","fe_an",0.0355274811813392
"73","AaegOr83","OR","fe_an",8.73143856397237
"74","AaegOr82","OR","fe_an",10.34693633026
"75","AaegOr3","OR","fe_an",2.71790604088766
"76","AaegIr101","IR","fe_an",0.00325530083881354
"77","AaegIr7r.1","IR","fe_an",0.00166305289537265
"78","AaegIr7z.2","IR","fe_an",0.857029821843259
"79","AaegOr131","OR","fe_an",4.31545804022942
"80","AaegOr71","OR","fe_an",49.9340426448559
"81","AaegOr22","OR","fe_an",6.71777804686943
"82","AaegOr44","OR","fe_an",5.60502653427557
"83","AaegOr129","OR","fe_an",0
"84","AaegOr18","OR","fe_an",10.7087743049924
"85","AaegOr108","OR","fe_an",33.6491273106172
"86","AaegOr106","OR","fe_an",4.10967355344691
"87","AaegOr57","OR","fe_an",3.5510412013493
"88","AaegOr53","OR","fe_an",3.67547925448516
"89","AaegOr51","OR","fe_an",6.88879638491486
"90","AaegIr75e.3","IR","fe_an",9.9080196821373
"91","AaegIr100c.1","IR","fe_an",0
"92","AaegOr64","OR","fe_an",13.9090348452333
"93","AaegOr118","OR","fe_an",5.93730120549875
"94","AaegIr21a","IR","fe_an",0.657615023085908
"95","AaegOr116","OR","fe_an",10.0874874382796
"96","AaegIr107.1","IR","fe_an",0.00314312696265139
"97","AaegOr120","OR","fe_an",0.0152408695206347
"98","AaegIr100a.2","IR","fe_an",3.13536892676244
"99","AaegIr40a.2","IR","fe_an",12.2815686393259
"100","AaegOr38","OR","fe_an",16.9666162771105
"101","AaegIr40a","IR","fe_an",3.41457325626723
"102","AaegOr111","OR","fe_an",22.5992822049213
"103","AaegOr112","OR","fe_an",44.6816936324943
"104","AaegIr7h.2","IR","fe_an",0.0455444164076786
"105","AaegOr54","OR","fe_an",5.09117012773236
"106","AaegIr41d.2","IR","fe_an",0.0688860729049256
"107","AaegIr75k.4","IR","fe_an",6.49494378156012
"108","AaegOr65","OR","fe_an",0.729170950385735
"109","AaegOr46","OR","fe_an",0.0259132411216309
"110","AaegIr7n.1","IR","fe_an",0.00186056951679686
"111","AaegIr7m.1","IR","fe_an",0.0172925734013178
"112","AaegIr7y.1","IR","fe_an",0.003224983503628
"113","AaegIr7k.1","IR","fe_an",0.00489123639782423
"114","AaegIr7q.1","IR","fe_an",0.273026498155914
"115","AaegOr125","OR","fe_an",8.19715156612444
"116","AaegOr74","OR","fe_an",0.0100015707142946
"117","AaegOr58","OR","fe_an",2.05247201634632
"118","AaegIr103","IR","fe_an",0.00184088383598836
"119","AaegIr100e.1","IR","fe_an",0
"120","AaegIr100a.1","IR","fe_an",0.959310277060206
"121","AaegOr49","OR","fe_an",0.120813647253715
"122","AaegOr98","OR","fe_an",2.23026377789088
"123","AaegOr105","OR","fe_an",46.5937543674878
"124","AaegOr104","OR","fe_an",32.5243205583249
"125","AaegOr127","OR","fe_an",0
"126","AaegOr43","OR","fe_an",1.36201287266039
"127","AaegOr28","OR","fe_an",7.0184287411741
"128","AaegOr101","OR","fe_an",3.76946720650895
"129","AaegOr96","OR","fe_an",15.5241925777696
"130","AaegOr26","OR","fe_an",10.8166282483599
"131","AaegOr30","OR","fe_an",17.6885262444553
"132","AaegOr55","OR","fe_an",7.85414373465982
"133","AaegOr47","OR","fe_an",73.0962950858657
"134","AaegOr27","OR","fe_an",20.2585607724371
"135","AaegOr50","OR","fe_an",11.2662021922443
"136","AaegOr56","OR","fe_an",5.11610594525757
"137","AaegIr100e.2","IR","fe_an",2.27558572485452
"138","AaegIr75l","IR","fe_an",5.17317463660148
"139","AaegIr68a","IR","fe_an",0.681914240946652
"140","AaegOr95","OR","fe_an",6.49293897656083
"141","AaegIr7s.2","IR","fe_an",0
"142","AaegIr7r.2","IR","fe_an",0
"143","AaegIr64a","IR","fe_an",3.11900113526836
"144","AaegOr59","OR","fe_an",73.4466898239366
"145","AaegOr13","OR","fe_an",28.0032268953969
"146","AaegIr87a.2","IR","fe_an",31.6362467954658
"147","AaegIr87a.1","IR","fe_an",15.5946894029369
"148","AaegOr99","OR","fe_an",0.00260586426249163
"149","AaegIr75k.2","IR","fe_an",3.24848308449758
"150","AaegIr75o","IR","fe_an",12.6032321426728
"151","AaegOr52","OR","fe_an",41.6812822116073
"152","AaegOr11","OR","fe_an",89.5108324308963
"153","AaegOr67","OR","fe_an",1.59318201228701
"154","AaegOr85","OR","fe_an",19.0346150186115
"155","AaegOr84","OR","fe_an",160.811863324934
"156","AaegOr81","OR","fe_an",11.156384712602
"157","AaegOr80","OR","fe_an",14.5430740548535
"158","AaegOr109","OR","fe_an",5.73900639796388
"159","AaegOr31","OR","fe_an",16.4644154129027
"160","AaegOr123","OR","fe_an",2.98590036196818
"161","AaegOr94","OR","fe_an",42.3592680810263
"162","AaegOr128","OR","fe_an",0.0432396030024694
"163","AaegOr4","OR","fe_an",41.787371409766
"164","AaegOr6","OR","fe_an",4.69055104129279
"165","AaegOr110","OR","fe_an",2.46865330740342
"166","AaegIr60a","IR","fe_an",0.0053419865628677
"167","AaegOr93","OR","fe_an",2.84254999169299
"168","AaegOr92","OR","fe_an",2.44702974829463
"169","AaegOr91","OR","fe_an",20.6902942800278
"170","AaegOr70","OR","fe_an",16.966491009426
"171","AaegIr100c.2","IR","fe_an",0.00561539185969344
"172","AaegIr100d","IR","fe_an",0.0136314447009828
"173","AaegIr7n.2","IR","fe_an",0.00701844863797455
"174","AaegIr7y.2","IR","fe_an",0.0128977424136254
"175","AaegIr7v.3","IR","fe_an",0.00272855192241912
"176","AaegIr41i","IR","fe_an",14.7187105422044
"177","AaegIr41a.1","IR","fe_an",18.4560728382422
"178","AaegIr41e","IR","fe_an",0.814588068733693
"179","AaegIr41p.2","IR","fe_an",0.0479449807801738
"180","AaegIr41g","IR","fe_an",0.345206612372416
"181","AaegIr41k","IR","fe_an",13.8916645985606
"182","AaegIr41d.3","IR","fe_an",15.4752652490674
"183","AaegIr41n","IR","fe_an",35.3128040709999
"184","AaegIr41j","IR","fe_an",1.65461240551881
"185","AaegIr41d.1","IR","fe_an",1.16490442323548
"186","AaegOr103","OR","fe_an",39.6573648150131
"187","AaegOr48","OR","fe_an",0.996789804004431
"188","AaegOr16","OR","fe_an",7.67893009799542
"189","AaegOr19","OR","fe_an",6.24113908187671
"190","AaegOr33","OR","fe_an",4.21044601077159
"191","AaegOr2","OR","fe_an",12.2873302244973
"192","AaegOr10","OR","fe_an",18.0074598960071
"193","AaegOr9","OR","fe_an",0.0136071485050218
"194","AaegOr5","OR","fe_an",7.83686204238694
"195","AaegOr12","OR","fe_an",50.0289695265025
"196","AaegOr121","OR","fe_an",21.5264226859197
"197","AaegOr122","OR","fe_an",14.9704093551286
"198","AaegOr25","OR","fe_an",4.5921089641686
"199","AaegOr66","OR","fe_an",33.4823544849315
"200","AaegOr86","OR","fe_an",3.23927453345005
"201","AaegIr75d","IR","fe_an",9.13784587501698
"202","AaegOr61","OR","fe_an",0.00513896328046673
"203","AaegOr60","OR","fe_an",0
"204","AaegIr76b","IR","ma_an",22.3171105871765
"205","AaegOr39","OR","ma_an",6.46390916726706
"206","AaegOr124","OR","ma_an",0.334093903257063
"207","AaegOr17","OR","ma_an",3.97337839152855
"208","AaegOr36","OR","ma_an",1.94493232861715
"209","AaegOr35","OR","ma_an",0
"210","AaegOr1","OR","ma_an",0.0830855086300024
"211","AaegIr92a","IR","ma_an",5.8817265588762
"212","AaegOr107","OR","ma_an",0.265618743280415
"213","AaegOr79","OR","ma_an",10.8586121932677
"214","AaegOr76","OR","ma_an",1.14543701924688
"215","AaegOr75","OR","ma_an",0
"216","AaegOr77","OR","ma_an",2.75874195509409
"217","AaegOr78","OR","ma_an",1.99019032001485
"218","AaegOr34","OR","ma_an",0.273124286756017
"219","AaegOr37","OR","ma_an",0.255497815623035
"220","AaegIr8a","IR","ma_an",35.0083532884263
"221","AaegOr69","OR","ma_an",11.5638551281907
"222","AaegOr14","OR","ma_an",3.11929913464823
"223","AaegOr15","OR","ma_an",3.98258172598401
"224","AaegIr100c.1","IR","ma_an",0
"225","AaegIr25a","IR","ma_an",123.570771978413
"226","AaegOr87","OR","ma_an",3.99728844303949
"227","AaegOr23","OR","ma_an",8.76144615221266
"228","AaegOr88","OR","ma_an",2.76527715511381
"229","AaegOr126","OR","ma_an",1.87355695562765
"230","AaegOr63","OR","ma_an",3.85623911445271
"231","AaegOr89","OR","ma_an",0
"232","AaegOr90","OR","ma_an",0.182606013761611
"233","AaegOr42","OR","ma_an",1.0239256896717
"234","AaegOr45","OR","ma_an",5.01490674083659
"235","AaegOr113","OR","ma_an",4.26442886558239
"236","AaegOr8","OR","ma_an",0.0273203840587589
"237","Ir_RU1","IR","ma_an",2.02662943365794
"238","AaegOr7","OR","ma_an",570.960595504255
"239","AaegOr40","OR","ma_an",0.265468346547125
"240","AaegOr20","OR","ma_an",9.12130000343618
"241","AaegOr24","OR","ma_an",1.61963038567999
"242","AaegOr21","OR","ma_an",6.56386929060077
"243","AaegOr72","OR","ma_an",1.41376528400093
"244","AaegOr100","OR","ma_an",6.74494852978699
"245","AaegOr114","OR","ma_an",0.519564026661525
"246","AaegOr115","OR","ma_an",1.13043626573514
"247","AaegOr41","OR","ma_an",5.74040481628113
"248","AaegOr119","OR","ma_an",2.10442098637102
"249","AaegOr102","OR","ma_an",1.96483104709586
"250","AaegOr130","OR","ma_an",0.099487613184834
"251","AaegOr117","OR","ma_an",0.299437766569309
"252","AaegIr93a","IR","ma_an",7.27937138373797
"253","AaegOr62","OR","ma_an",0.676232294249358
"254","AaegIr7j","IR","ma_an",0.0584534650298027
"255","AaegIr7v.2","IR","ma_an",0.465020074250625
"256","AaegIr7l","IR","ma_an",0
"257","AaegIr7v.1","IR","ma_an",0.0523643989649035
"258","AaegOr97","OR","ma_an",1.08140130033809
"259","AaegIr106.1","IR","ma_an",0
"260","AaegIr7q.2","IR","ma_an",0.0634485993149052
"261","AaegIr7z.1","IR","ma_an",0.061152761302024
"262","AaegIr41a.2","IR","ma_an",9.33492163837834
"263","AaegIr41p.1","IR","ma_an",0.59764357543053
"264","AaegIr41p.2","IR","ma_an",0
"265","Ir_RU2","IR","ma_an",3.25654973580499
"266","AaegIr41o","IR","ma_an",0.159238459047745
"267","AaegIr7h.1","IR","ma_an",0
"268","AaegIr31a","IR","ma_an",1.66196624030715
"269","AaegIr75k.3","IR","ma_an",9.81019167527765
"270","AaegIr75k.1","IR","ma_an",9.28262516672567
"271","AaegIr119","IR","ma_an",0
"272","AaegOr68","OR","ma_an",0
"273","AaegOr73","OR","ma_an",0.0617992453597022
"274","AaegIr75i","IR","ma_an",4.70327381851197
"275","AaegIr120","IR","ma_an",0.0122454812324539
"276","AaegOr83","OR","ma_an",3.98444613225751
"277","AaegOr82","OR","ma_an",2.18832626920327
"278","AaegOr3","OR","ma_an",1.71286410857273
"279","AaegIr101","IR","ma_an",0
"280","AaegIr7r.1","IR","ma_an",0
"281","AaegIr7z.2","IR","ma_an",0.1212701223207
"282","AaegOr131","OR","ma_an",0.0252881943159791
"283","AaegOr71","OR","ma_an",13.7877820375929
"284","AaegOr22","OR","ma_an",2.46712665872714
"285","AaegOr44","OR","ma_an",2.39444118765955
"286","AaegOr129","OR","ma_an",0.0744189110788006
"287","AaegOr18","OR","ma_an",9.29479858836925
"288","AaegOr108","OR","ma_an",1.92603393811361
"289","AaegOr106","OR","ma_an",1.58587760486916
"290","AaegOr57","OR","ma_an",2.08791600552126
"291","AaegOr53","OR","ma_an",0.540129005566126
"292","AaegOr51","OR","ma_an",2.35538345398756
"293","AaegIr75e.3","IR","ma_an",5.88533314295455
"294","AaegIr100c.1","IR","ma_an",0
"295","AaegOr64","OR","ma_an",2.65180583223274
"296","AaegOr118","OR","ma_an",1.41795831772412
"297","AaegIr21a","IR","ma_an",0.543772685976802
"298","AaegOr116","OR","ma_an",1.21283098380098
"299","AaegIr107.1","IR","ma_an",0
"300","AaegOr120","OR","ma_an",0
"301","AaegIr100a.2","IR","ma_an",0.664169292812863
"302","AaegIr40a.2","IR","ma_an",12.7453543297048
"303","AaegOr38","OR","ma_an",5.34742512816386
"304","AaegIr40a","IR","ma_an",0.815060802902731
"305","AaegOr111","OR","ma_an",2.27909703304644
"306","AaegOr112","OR","ma_an",3.63292020219002
"307","AaegIr7h.2","IR","ma_an",0.0290169864076643
"308","AaegOr54","OR","ma_an",2.88531534392772
"309","AaegIr41d.2","IR","ma_an",0.100594308461451
"310","AaegIr75k.4","IR","ma_an",0.914319284956853
"311","AaegOr65","OR","ma_an",0.648191040136437
"312","AaegOr46","OR","ma_an",0.059361591577296
"313","AaegIr7n.1","IR","ma_an",0
"314","AaegIr7m.1","IR","ma_an",0.062988555455586
"315","AaegIr7y.1","IR","ma_an",0.0101423085737093
"316","AaegIr7k.1","IR","ma_an",0
"317","AaegIr7q.1","IR","ma_an",0.042355868723302
"318","AaegOr125","OR","ma_an",2.42455691139736
"319","AaegOr74","OR","ma_an",0.0859270789029093
"320","AaegOr58","OR","ma_an",1.95475184325375
"321","AaegIr103","IR","ma_an",0
"322","AaegIr100e.1","IR","ma_an",0
"323","AaegIr100a.1","IR","ma_an",0.105128160494626
"324","AaegOr49","OR","ma_an",0.0214917003703489
"325","AaegOr98","OR","ma_an",0.824965015693197
"326","AaegOr105","OR","ma_an",1.31030727897736
"327","AaegOr104","OR","ma_an",2.45501646736731
"328","AaegOr127","OR","ma_an",0
"329","AaegOr43","OR","ma_an",0.7780101961919
"330","AaegOr28","OR","ma_an",4.99796845570975
"331","AaegOr101","OR","ma_an",0.42720849411962
"332","AaegOr96","OR","ma_an",4.72176974288874
"333","AaegOr26","OR","ma_an",3.24182073111825
"334","AaegOr30","OR","ma_an",3.18508377415358
"335","AaegOr55","OR","ma_an",2.55965698951391
"336","AaegOr47","OR","ma_an",25.5950525995297
"337","AaegOr27","OR","ma_an",6.63550791378791
"338","AaegOr50","OR","ma_an",5.89450824007095
"339","AaegOr56","OR","ma_an",0.494139465597451
"340","AaegIr100e.2","IR","ma_an",2.26675551996563
"341","AaegIr75l","IR","ma_an",5.15666044179714
"342","AaegIr68a","IR","ma_an",1.84101508141759
"343","AaegOr95","OR","ma_an",1.17632879881935
"344","AaegIr7s.2","IR","ma_an",0
"345","AaegIr7r.2","IR","ma_an",0.0171042742202959
"346","AaegIr64a","IR","ma_an",2.60009749904053
"347","AaegOr59","OR","ma_an",7.86917199989353
"348","AaegOr13","OR","ma_an",4.94102108080071
"349","AaegIr87a.2","IR","ma_an",10.9248920226274
"350","AaegIr87a.1","IR","ma_an",6.9846324137358
"351","AaegOr99","OR","ma_an",0.684032442220904
"352","AaegIr75k.2","IR","ma_an",1.76648394257863
"353","AaegIr75o","IR","ma_an",8.32268195759173
"354","AaegOr52","OR","ma_an",5.05175944379899
"355","AaegOr11","OR","ma_an",21.4956985167917
"356","AaegOr67","OR","ma_an",1.33585715678393
"357","AaegOr85","OR","ma_an",3.6365296618132
"358","AaegOr84","OR","ma_an",15.4026554856987
"359","AaegOr81","OR","ma_an",8.71034018940624
"360","AaegOr80","OR","ma_an",10.2889342975097
"361","AaegOr109","OR","ma_an",2.03446460087176
"362","AaegOr31","OR","ma_an",9.42915760535767
"363","AaegOr123","OR","ma_an",0.264698384605611
"364","AaegOr94","OR","ma_an",2.2462590726981
"365","AaegOr128","OR","ma_an",0.0241182456342974
"366","AaegOr4","OR","ma_an",18.9173936272896
"367","AaegOr6","OR","ma_an",5.04448445633214
"368","AaegOr110","OR","ma_an",0.374895301363385
"369","AaegIr60a","IR","ma_an",0.00806295669082171
"370","AaegOr93","OR","ma_an",0.722398416149794
"371","AaegOr92","OR","ma_an",0.0544683160695627
"372","AaegOr91","OR","ma_an",4.01580149063798
"373","AaegOr70","OR","ma_an",10.2366238689339
"374","AaegIr100c.2","IR","ma_an",0
"375","AaegIr100d","IR","ma_an",0
"376","AaegIr7n.2","IR","ma_an",0
"377","AaegIr7y.2","IR","ma_an",0
"378","AaegIr7v.3","IR","ma_an",0.00801430532379858
"379","AaegIr41i","IR","ma_an",6.5502341466754
"380","AaegIr41a.1","IR","ma_an",11.1096522222613
"381","AaegIr41e","IR","ma_an",0.517968122487067
"382","AaegIr41p.2","IR","ma_an",0.0747412235104649
"383","AaegIr41g","IR","ma_an",0.164966532245262
"384","AaegIr41k","IR","ma_an",4.85264880842054
"385","AaegIr41d.3","IR","ma_an",7.72802459675181
"386","AaegIr41n","IR","ma_an",14.6044531037277
"387","AaegIr41j","IR","ma_an",2.39707098666392
"388","AaegIr41d.1","IR","ma_an",1.11367533641219
"389","AaegOr103","OR","ma_an",2.85920891540055
"390","AaegOr48","OR","ma_an",0.495472602559533
"391","AaegOr16","OR","ma_an",4.69083579283053
"392","AaegOr19","OR","ma_an",2.40364737208191
"393","AaegOr33","OR","ma_an",2.29652577500407
"394","AaegOr2","OR","ma_an",8.143580185165
"395","AaegOr10","OR","ma_an",8.81860498295251
"396","AaegOr9","OR","ma_an",0
"397","AaegOr5","OR","ma_an",0
"398","AaegOr12","OR","ma_an",23.3839014856076
"399","AaegOr121","OR","ma_an",4.13483371919801
"400","AaegOr122","OR","ma_an",2.32641073791049
"401","AaegOr25","OR","ma_an",1.35628162726432
"402","AaegOr66","OR","ma_an",13.5365454955256
