,x,y
1,Geneid,gene
2,Chr,chr
3,Start,start
4,End,end
5,Strand,strand
6,Length,len
7,Fe_An_SF_1_.Fe_An_SF_1_merge.bam,Fe_An_SF_1
8,Fe_An_SF_2_.Fe_An_SF_2_merged.bam,Fe_An_SF_2
9,Fe_An_SF_3_.Fe_An_SF_3_merge.bam,Fe_An_SF_3
10,Fe_An_SF_4_.Fe_An_SF_4_merge.bam,Fe_An_SF_4
11,Fe_At_O_1_.Fe_At_O_1_R1Aligned.sortedByCoord.out.bam,Fe_At_O_1
12,Fe_At_O_2_.Fe_At_O_2_R1Aligned.sortedByCoord.out.bam,Fe_At_O_2
13,Fe_At_O_3_.Fe_At_O_3_R1Aligned.sortedByCoord.out.bam,Fe_At_O_3
14,Fe_At_O_4_.Fe_At_O_4_R1Aligned.sortedByCoord.out.bam,Fe_At_O_4
15,Fe_Br_SF_1_.Fe_Br_SF_1_R1Aligned.sortedByCoord.out.bam,Fe_Br_SF_1
16,Fe_Br_SF_2_.Fe_Br_SF_2_R1Aligned.sortedByCoord.out.bam,Fe_Br_SF_2
17,Fe_Br_SF_3_.Fe_Br_SF_3_R1Aligned.sortedByCoord.out.bam,Fe_Br_SF_3
18,Fe_Br_SF_4_.Fe_Br_SF_4_R1Aligned.sortedByCoord.out.bam,Fe_Br_SF_4
19,Fe_FL_O_2_.Fe_FL_O_2_R1Aligned.sortedByCoord.out.bam,Fe_FL_O_2
20,Fe_FL_O_3_.Fe_FL_O_3_R1Aligned.sortedByCoord.out.bam,Fe_FL_O_3
21,Fe_FL_O_4_.Fe_FL_O_4_R1Aligned.sortedByCoord.out.bam,Fe_FL_O_4
22,Fe_FL_O_5_.Fe_FL_O_5_R1Aligned.sortedByCoord.out.bam,Fe_FL_O_5
23,Fe_HL_O_1_.Fe_HL_O_1_R1Aligned.sortedByCoord.out.bam,Fe_HL_O_1
24,Fe_HL_O_2_.Fe_HL_O_2_R1Aligned.sortedByCoord.out.bam,Fe_HL_O_2
25,Fe_HL_O_3_.Fe_HL_O_3_R1Aligned.sortedByCoord.out.bam,Fe_HL_O_3
26,Fe_HL_O_4_.Fe_HL_O_4_R1Aligned.sortedByCoord.out.bam,Fe_HL_O_4
27,Fe_HL_O_5_.Fe_HL_O_5_R1Aligned.sortedByCoord.out.bam,Fe_HL_O_5
28,Fe_ML_O_2_.Fe_ML_O_2_R1Aligned.sortedByCoord.out.bam,Fe_ML_O_2
29,Fe_ML_O_3_.Fe_ML_O_3_R1Aligned.sortedByCoord.out.bam,Fe_ML_O_3
30,Fe_ML_O_4_.Fe_ML_O_4_R1Aligned.sortedByCoord.out.bam,Fe_ML_O_4
31,Fe_ML_O_7_.Fe_ML_O_7_R1Aligned.sortedByCoord.out.bam,Fe_ML_O_7
32,Fe_Os_SF_1_.Fe_Os_SF_1_R1Aligned.sortedByCoord.out.bam,Fe_Os_SF_1
33,Fe_Os_SF_2_.Fe_Os_SF_2_R1Aligned.sortedByCoord.out.bam,Fe_Os_SF_2
34,Fe_Os_SF_3_.Fe_Os_SF_3_R1Aligned.sortedByCoord.out.bam,Fe_Os_SF_3
35,Fe_Os_SF_4_.Fe_Os_SF_4_R1Aligned.sortedByCoord.out.bam,Fe_Os_SF_4
36,Fe_Os_SF_5_.Fe_Os_SF_5_R1Aligned.sortedByCoord.out.bam,Fe_Os_SF_5
37,Fe_Ov_O_1_.Fe_Ov_O_1_R1Aligned.sortedByCoord.out.bam,Fe_Ov_O_1
38,Fe_Ov_O_2_.Fe_Ov_O_2_R1Aligned.sortedByCoord.out.bam,Fe_Ov_O_2
39,Fe_Ov_O_3_.Fe_Ov_O_3_R1Aligned.sortedByCoord.out.bam,Fe_Ov_O_3
40,Fe_Ov_O_4_.Fe_Ov_O_4_R1Aligned.sortedByCoord.out.bam,Fe_Ov_O_4
41,Fe_Ov_SF_1_.Fe_Ov_SF_1_merged.bam,Fe_Ov_SF_1
42,Fe_Ov_SF_2_.Fe_Ov_SF_2_merged.bam,Fe_Ov_SF_2
43,Fe_Ov_SF_3_.Fe_Ov_SF_3_merged.bam,Fe_Ov_SF_3
44,Fe_Pa_SF_1_.Fe_Pa_SF_1_R1Aligned.sortedByCoord.out.bam,Fe_Pa_SF_1
45,Fe_Pa_SF_2_.Fe_Pa_SF_2_R1Aligned.sortedByCoord.out.bam,Fe_Pa_SF_2
46,Fe_Pa_SF_3_.Fe_Pa_SF_3_R1Aligned.sortedByCoord.out.bam,Fe_Pa_SF_3
47,Fe_Pa_SF_4_.Fe_Pa_SF_4_R1Aligned.sortedByCoord.out.bam,Fe_Pa_SF_4
48,Ma_An_1_.Ma_An_1_merged.bam,Ma_An_1
49,Ma_An_2_.Ma_An_2_merged.bam,Ma_An_2
50,Ma_An_3_.Ma_An_3_merged.bam,Ma_An_3
51,Ma_AT_1_.Ma_AT_1_merged.bam,Ma_At_1
52,Ma_AT_2_.Ma_AT_2_merged.bam,Ma_At_2
53,Ma_AT_3_.Ma_AT_3_merged.bam,Ma_At_3
54,Ma_Br_1_.Ma_Br_1_merged.bam,Ma_Br_1
55,Ma_Br_2_.Ma_Br_2_merged.bam,Ma_Br_2
56,Ma_Br_3_.Ma_Br_3_merged.bam,Ma_Br_3
57,Ma_FL_1_.Ma_FL_1_R1Aligned.sortedByCoord.out.bam,Ma_FL_1
58,Ma_FL_2_.Ma_FL_2_R1Aligned.sortedByCoord.out.bam,Ma_FL_2
59,Ma_FL_3_.Ma_FL_3_R1Aligned.sortedByCoord.out.bam,Ma_FL_3
60,Ma_HL_1_.Ma_HL_1_R1Aligned.sortedByCoord.out.bam,Ma_HL_1
61,Ma_HL_2_.Ma_HL_2_R1Aligned.sortedByCoord.out.bam,Ma_HL_2
62,Ma_HL_3_.Ma_HL_3_R1Aligned.sortedByCoord.out.bam,Ma_HL_3
63,Ma_ML_1_.Ma_ML_1_R1Aligned.sortedByCoord.out.bam,Ma_ML_1
64,Ma_ML_2_.Ma_ML_2_R1Aligned.sortedByCoord.out.bam,Ma_ML_2
65,Ma_ML_3_.Ma_ML_3_R1Aligned.sortedByCoord.out.bam,Ma_ML_3
66,bams.Fe_An_BF_1_merged.bam,Fe_An_BF_1
67,bams.Fe_An_BF_1_SE_2Aligned.sortedByCoord.out.bam,Fe_An_BF_1_1
68,bams.Fe_An_BF_1_SEAligned.sortedByCoord.out.bam,Fe_An_BF_1_2
69,bams.Fe_An_BF_2_SEAligned.sortedByCoord.out.bam,Fe_An_BF_2
70,bams.Fe_An_BF_3_SEAligned.sortedByCoord.out.bam,Fe_An_BF_3
71,bams.Fe_An_BF_4_SEAligned.sortedByCoord.out.bam,Fe_An_BF_4
72,bams.Fe_An_O_2_SEAligned.sortedByCoord.out.bam,Fe_An_O_2
73,bams.Fe_An_O_3_SEAligned.sortedByCoord.out.bam,Fe_An_O_3
74,bams.Fe_An_O_4_SEAligned.sortedByCoord.out.bam,Fe_An_O_4
75,bams.Fe_An_SF_5_merged.bam,Fe_An_SF_5
76,bams.Fe_An_SF_5_SE_2Aligned.sortedByCoord.out.bam,Fe_An_SF_5_1
77,bams.Fe_An_SF_5_SEAligned.sortedByCoord.out.bam,Fe_An_SF_5_2
78,bams.Fe_An_SF_6_SEAligned.sortedByCoord.out.bam,Fe_An_SF_6
79,bams.Fe_An_SF_7_SEAligned.sortedByCoord.out.bam,Fe_An_SF_7
80,bams.Fe_An_SF_8_SEAligned.sortedByCoord.out.bam,Fe_An_SF_8
81,bams.Fe_At_O_5_SEAligned.sortedByCoord.out.bam,Fe_At_O_5
82,bams.Fe_At_O_6_SEAligned.sortedByCoord.out.bam,Fe_At_O_6
83,bams.Fe_At_O_7_SEAligned.sortedByCoord.out.bam,Fe_At_O_7
84,bams.Fe_At_SF_1_SEAligned.sortedByCoord.out.bam,Fe_At_SF_1
85,bams.Fe_At_SF_2_SEAligned.sortedByCoord.out.bam,Fe_At_SF_2
86,bams.Fe_At_SF_3_SEAligned.sortedByCoord.out.bam,Fe_At_SF_3
87,bams.Fe_Br_BF_1_SEAligned.sortedByCoord.out.bam,Fe_Br_BF_1
88,bams.Fe_Br_BF_2_SEAligned.sortedByCoord.out.bam,Fe_Br_BF_2
89,bams.Fe_Br_BF_3_SEAligned.sortedByCoord.out.bam,Fe_Br_BF_3
90,bams.Fe_Br_BF_4_SEAligned.sortedByCoord.out.bam,Fe_Br_BF_4
91,bams.Fe_Br_O_1_SEAligned.sortedByCoord.out.bam,Fe_Br_O_1
92,bams.Fe_Br_O_2_SEAligned.sortedByCoord.out.bam,Fe_Br_O_2
93,bams.Fe_Br_O_3_SEAligned.sortedByCoord.out.bam,Fe_Br_O_3
94,bams.Fe_Br_O_4_SEAligned.sortedByCoord.out.bam,Fe_Br_O_4
95,bams.Fe_Br_SF_5_SEAligned.sortedByCoord.out.bam,Fe_Br_SF_5
96,bams.Fe_Br_SF_6_SEAligned.sortedByCoord.out.bam,Fe_Br_SF_6
97,bams.Fe_Br_SF_7_SEAligned.sortedByCoord.out.bam,Fe_Br_SF_7
98,bams.Fe_Br_SF_8_SEAligned.sortedByCoord.out.bam,Fe_Br_SF_8
99,bams.Fe_FL_O_1_SEAligned.sortedByCoord.out.bam,Fe_FL_O_1
100,bams.Fe_FL_O_6_SEAligned.sortedByCoord.out.bam,Fe_FL_O_6
101,bams.Fe_FL_O_7_SEAligned.sortedByCoord.out.bam,Fe_FL_O_7
102,bams.Fe_FL_SF_1_SEAligned.sortedByCoord.out.bam,Fe_FL_SF_1
103,bams.Fe_FL_SF_2_SEAligned.sortedByCoord.out.bam,Fe_FL_SF_2
104,bams.Fe_FL_SF_3_SEAligned.sortedByCoord.out.bam,Fe_FL_SF_3
105,bams.Fe_HL_BF_1_SEAligned.sortedByCoord.out.bam,Fe_HL_BF_1
106,bams.Fe_HL_BF_2_SEAligned.sortedByCoord.out.bam,Fe_HL_BF_2
107,bams.Fe_HL_BF_3_SEAligned.sortedByCoord.out.bam,Fe_HL_BF_3
108,bams.Fe_HL_BF_4_SEAligned.sortedByCoord.out.bam,Fe_HL_BF_4
109,bams.Fe_HL_O_6_SEAligned.sortedByCoord.out.bam,Fe_HL_O_6
110,bams.Fe_HL_O_7_SEAligned.sortedByCoord.out.bam,Fe_HL_O_7
111,bams.Fe_HL_O_8_SEAligned.sortedByCoord.out.bam,Fe_HL_O_8
112,bams.Fe_HL_SF_1_SEAligned.sortedByCoord.out.bam,FE_HL_SF_1
113,bams.Fe_HL_SF_2_SEAligned.sortedByCoord.out.bam,FE_HL_SF_2
114,bams.Fe_HL_SF_3_SEAligned.sortedByCoord.out.bam,FE_HL_SF_3
115,bams.Fe_HL_SF_4_SEAligned.sortedByCoord.out.bam,FE_HL_SF_4
116,bams.Fe_HL_SF_5_SEAligned.sortedByCoord.out.bam,FE_HL_SF_5
117,bams.Fe_HL_SF_6_SEAligned.sortedByCoord.out.bam,FE_HL_SF_6
118,bams.Fe_ML_O_1_SEAligned.sortedByCoord.out.bam,Fe_ML_O_1
119,bams.Fe_ML_O_5_SEAligned.sortedByCoord.out.bam,Fe_ML_O_5
120,bams.Fe_ML_O_6_SEAligned.sortedByCoord.out.bam,Fe_ML_O_6
121,bams.Fe_ML_SF_1_SEAligned.sortedByCoord.out.bam,Fe_ML_SF_1
122,bams.Fe_ML_SF_2_SEAligned.sortedByCoord.out.bam,Fe_ML_SF_2
123,bams.Fe_ML_SF_3_SEAligned.sortedByCoord.out.bam,Fe_ML_SF_3
124,bams.Fe_Rs_BF_1_SEAligned.sortedByCoord.out.bam,Fe_Rs_BF_1
125,bams.Fe_Rs_BF_2_SEAligned.sortedByCoord.out.bam,Fe_Rs_BF_2
126,bams.Fe_Rs_BF_3_SEAligned.sortedByCoord.out.bam,Fe_Rs_BF_3
127,bams.Fe_Rs_SF_1_SEAligned.sortedByCoord.out.bam,Fe_Rs_SF_1
128,bams.Fe_Rs_SF_2_SEAligned.sortedByCoord.out.bam,Fe_Rs_SF_2
129,bams.Fe_Rs_SF_3_SEAligned.sortedByCoord.out.bam,Fe_Rs_SF_3
130,bams.Ma_HL_4_SEAligned.sortedByCoord.out.bam,Ma_HL_4
131,bams.Ma_HL_5_SEAligned.sortedByCoord.out.bam,Ma_HL_5
132,bams.Ma_Rs_1_merged.bam,Ma_Rs_1
133,bams.Ma_Rs_1_SE_1Aligned.sortedByCoord.out.bam,Ma_Rs_1_1
134,bams.Ma_Rs_1_SE_2Aligned.sortedByCoord.out.bam,Ma_Rs_1_2
135,bams.Ma_Rs_2_merged.bam,Ma_Rs_2
136,bams.Ma_Rs_2_SE_1Aligned.sortedByCoord.out.bam,Ma_Rs_2_1
137,bams.Ma_Rs_2_SE_2Aligned.sortedByCoord.out.bam,Ma_Rs_2_2
138,bams.Ma_Rs_3_merged.bam,Ma_Rs_3
139,bams.Ma_Rs_3_SE_1Aligned.sortedByCoord.out.bam,Ma_Rs_3_1
140,bams.Ma_Rs_3_SE_2Aligned.sortedByCoord.out.bam,Ma_Rs_3_2